eng	y_fit
7.86	0.44669
7.87	0.44589
7.88	0.44508
7.89	0.44428
7.9	0.44348
7.91	0.44268
7.92	0.44188
7.93	0.44109
7.94	0.44029
7.95	0.4395
7.96	0.43871
7.97	0.43792
7.98	0.43713
7.99	0.43635
8.0	0.43556
8.01	0.43478
8.02	0.434
8.03	0.43322
8.04	0.43244
8.05	0.43166
8.06	0.43088
8.07	0.43011
8.08	0.42933
8.09	0.42856
8.1	0.42779
8.11	0.42702
8.12	0.42626
8.13	0.42549
8.14	0.42473
8.15	0.42397
8.16	0.4232
8.17	0.42244
8.18	0.42169
8.19	0.42093
8.2	0.42017
8.21	0.41942
8.22	0.41867
8.23	0.41792
8.24	0.41717
8.25	0.41642
8.26	0.41567
8.27	0.41493
8.28	0.41418
8.29	0.41344
8.3	0.4127
8.31	0.41196
8.32	0.41122
8.33	0.41049
8.34	0.40975
8.35	0.40902
8.36	0.40829
8.37	0.40756
8.38	0.40683
8.39	0.4061
8.4	0.40537
8.41	0.40465
8.42	0.40392
8.43	0.4032
8.44	0.40248
8.45	0.40176
8.46	0.40104
8.47	0.40033
8.48	0.39961
8.49	0.3989
8.5	0.39819
8.51	0.39748
8.52	0.39677
8.53	0.39606
8.54	0.39535
8.55	0.39465
8.56	0.39394
8.57	0.39324
8.58	0.39254
8.59	0.39184
8.6	0.39114
8.61	0.39045
8.62	0.38975
8.63	0.38906
8.64	0.38836
8.65	0.38767
8.66	0.38698
8.67	0.3863
8.68	0.38561
8.69	0.38493
8.7	0.38424
8.71	0.38356
8.72	0.38288
8.73	0.3822
8.74	0.38153
8.75	0.38085
8.76	0.38018
8.77	0.37951
8.78	0.37884
8.79	0.37817
8.8	0.3775
8.81	0.37684
8.82	0.37618
8.83	0.37551
8.84	0.37483
8.85	0.37414
8.86	0.37348
8.87	0.37283
8.88	0.37218
8.89	0.37153
8.9	0.37089
8.91	0.37024
8.92	0.3696
8.93	0.36897
8.94	0.36833
8.95	0.3677
8.96	0.36708
8.97	0.36646
8.98	0.36585
8.99	0.36525
9.0	0.36466
9.01	0.36408
9.02	0.36353
9.03	0.36301
9.04	0.36253
9.05	0.36212
9.06	0.36181
9.07	0.36164
9.08	0.36167
9.09	0.36176
9.1	0.36132
9.11	0.35988
9.12	0.35818
9.13	0.35681
9.14	0.35576
9.15	0.35491
9.16	0.35417
9.17	0.35349
9.18	0.35285
9.19	0.35223
9.2	0.35164
9.21	0.35106
9.22	0.35051
9.23	0.34998
9.24	0.34948
9.25	0.34902
9.26	0.34862
9.27	0.3483
9.28	0.34811
9.29	0.34811
9.3	0.34839
9.31	0.34912
9.32	0.35049
9.33	0.35261
9.34	0.35508
9.35	0.35443666666666673
9.36	0.35379333333333335
9.37	0.35315
9.38	0.35019
9.39	0.34759
9.4	0.34548
9.41	0.34377
9.42	0.34236
9.43	0.34117
9.44	0.34012
9.45	0.33919
9.46	0.33834
9.47	0.33755
9.48	0.33681
9.49	0.33611
9.5	0.33545
9.51	0.33481
9.52	0.33421
9.53	0.33363
9.54	0.33307
9.55	0.33252
9.56	0.33196
9.57	0.33136
9.58	0.33066
9.59	0.32982
9.6	0.32889
9.61	0.32795
9.62	0.32708
9.63	0.32631
9.64	0.32563
9.65	0.32499
9.66	0.32439
9.67	0.3238
9.68	0.32323
9.69	0.32266
9.7	0.3221
9.71	0.32154
9.72	0.32099
9.73	0.32043
9.74	0.31988
9.75	0.31932
9.76	0.31877
9.77	0.31822
9.78	0.31768
9.79	0.31713
9.8	0.3166
9.81	0.31607
9.82	0.31554
9.83	0.31503
9.84	0.31451
9.85	0.31399
9.86	0.31345
9.87	0.31291
9.88	0.31237
9.89	0.31183
9.9	0.31129
9.91	0.31075
9.92	0.31021
9.93	0.30967
9.94	0.30914
9.95	0.30861
9.96	0.30808
9.97	0.30755
9.98	0.30702
9.99	0.3065
10.0	0.30598
10.01	0.30546
10.02	0.30494
10.03	0.30442
10.04	0.3039
10.05	0.30337
10.06	0.30283
10.07	0.30228
10.08	0.30175
10.09	0.30122
10.1	0.3007
10.11	0.30018
10.12	0.29967
10.13	0.29916
10.14	0.29866
10.15	0.29816
10.16	0.29766
10.17	0.29716
10.18	0.29667
10.19	0.29619
10.2	0.2957
10.21	0.29523
10.22	0.29475
10.23	0.29425
10.24	0.29373
10.25	0.29318
10.26	0.29261
10.27	0.29206
10.28	0.29153
10.29	0.29102
10.3	0.29052
10.31	0.29002
10.32	0.28953
10.33	0.28904
10.34	0.28855
10.35	0.28807
10.36	0.2876
10.37	0.28713
10.38	0.28666
10.39	0.28619
10.4	0.2857
10.41	0.28519
10.42	0.28467
10.43	0.28416
10.44	0.28367
10.45	0.28318
10.46	0.2827
10.47	0.28222
10.48	0.28174
10.49	0.28127
10.5	0.2808
10.51	0.28033
10.52	0.27985
10.53	0.27937
10.54	0.27889
10.55	0.27842
10.56	0.27795
10.57	0.27748
10.58	0.27701
10.59	0.27654
10.6	0.27608
10.61	0.27561
10.62	0.27514
10.63	0.27468
10.64	0.27422
10.65	0.27376
10.66	0.2733
10.67	0.27284
10.68	0.27238
10.69	0.27192
10.7	0.27147
10.71	0.27101
10.72	0.27056
10.73	0.27011
10.74	0.26965
10.75	0.2692
10.76	0.26875
10.77	0.26831
10.78	0.26786
10.79	0.26741
10.8	0.26696
10.81	0.26652
10.82	0.26608
10.83	0.26563
10.84	0.26519
10.85	0.26475
10.86	0.26431
10.87	0.26387
10.88	0.26343
10.89	0.26299
10.9	0.26256
10.91	0.26212
10.92	0.26168
10.93	0.26125
10.94	0.26082
10.95	0.26038
10.96	0.25995
10.97	0.25952
10.98	0.25909
10.99	0.25866
11.0	0.25823
11.01	0.25781
11.02	0.25738
11.03	0.25695
11.04	0.25653
11.05	0.2561
11.06	0.25568
11.07	0.25526
11.08	0.25484
11.09	0.25441
11.1	0.25399
11.11	0.25357
11.12	0.25316
11.13	0.25274
11.14	0.25232
11.15	0.2519
11.16	0.25149
11.17	0.25107
11.18	0.25066
11.19	0.25025
11.2	0.24984
11.21	0.24942
11.22	0.24901
11.23	0.2486
11.24	0.24819
11.25	0.24779
11.26	0.24738
11.27	0.24697
11.28	0.24657
11.29	0.24616
11.3	0.24576
11.31	0.24535
11.32	0.24495
11.33	0.24455
11.34	0.24415
11.35	0.24375
11.36	0.24335
11.37	0.24295
11.38	0.24255
11.39	0.24216
11.4	0.24176
11.41	0.24136
11.42	0.24097
11.43	0.24058
11.44	0.24018
11.45	0.23979
11.46	0.2394
11.47	0.23901
11.48	0.23862
11.49	0.23823
11.5	0.23784
11.51	0.23746
11.52	0.23707
11.53	0.23668
11.54	0.2363
11.55	0.23592
